Region, District No, District, School No,Type,County, School, Email, Title, Status, Phone1, Fax, Grade Levels,ADDRESS,geometry,lng,lat
SOUTHWEST CORE REGIONAL OFFICE,792,SHELBY COUNTY,2830,Public,Shelby,Carver College and Career Academy,cooperwh@scsk12.org,Principal: Wanda Cooper,A,(901) 416-7884,(901) 416-7259,"9,10,11,12","1591 Pennsylvania, Memphis, TN 38109",POINT (-90.0680345 35.1044224),-90.0680345,35.1044224
SOUTH CENTRAL CORE REGIONAL OFFICE,20,BEDFORD COUNTY,13,Public,Bedford,Cascade High School,youngj@bedfordk12tn.net,Principal: Dr. Josh Young,A,(931) 389-9389,,"9,10,11,12","1165 Bell Bckle/Wartrace, Wartrace, TN 37183",POINT (-86.3600395 35.5660729),-86.3600395,35.5660729
FIRST TENNESSEE CORE REGIONAL OFFICE,9822,KINGSPORT PRIVATE SCHOOLS,9021,Private,Sullivan,Cedar View Christian School,cvcsseahawks@aol.com,Principal: Dr. Jim Fields,A,(423) 245-6341,(423) 245-9288,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12","1900 Flanders, Kingsport, TN 37665",POINT (-82.5777921 36.5889277),-82.5777921,36.5889277
UPPER CUMBERLAND CORE REGIONAL OFFICE,9310,GRUNDY COUNTY PRIVATE SCHOOLS,9010,Private,Grundy,Cedars of Lebanon Academy,nldeland@cedarsoflebanonacademy.org,Principal: Ned DeLand,A,(931) 692-3635,,"K,1,2,3,4,5,6,7,8,9,10,11,12","366 Cove Creek RD, McMinnville, TN 37110",POINT (-85.66344149999999 35.5227834),-85.66344149999999,35.5227834
MID CUMBERLAND CORE REGIONAL OFFICE,940,WILLIAMSON COUNTY,17,Public,Williamson,Centennial High School,meghen.sanders@wcs.edu,Principal: Dr. Meghen Sanders,A,(615) 472-4270,(615) 472-4291,"N,9,10,11,12","5050 Mallory LN, Franklin, TN 37067",POINT (-86.8223871 35.9285752),-86.8223871,35.9285752
UPPER CUMBERLAND CORE REGIONAL OFFICE,9890,WARREN COUNTY PRIVATE SCHOOLS,9795,Private,Warren,Centertown Christian Academy,Portlandbilly@yahoo.com,Principal: Billy Cunningham,A,(931) 939-5001,,"2,3,4,5,6,7,8,9,10,11,12","252 Line ST, McMinnville, TN 37710",POINT (-85.9171578 35.7265216),-85.9171578,35.7265216
SOUTHWEST CORE REGIONAL OFFICE,9792,SHELBY COUNTY PRIVATE SCHOOLS,9245,Private,Shelby,Central Baptist School,jcordova@centralbaptistministries.org,Principal: Jeremy Cordova,A,(901) 386-8161,(901) 386-9165,"K,1,2,3,4,5,6,7,8,9,10,11,12","5470 Raleigh La Grange RD, Memphis, TN 38134",POINT (-89.88128060000001 35.1851614),-89.88128060000001,35.1851614
SOUTHWEST CORE REGIONAL OFFICE,792,SHELBY COUNTY,2090,Public,Shelby,Central High,MCCULLOUGHGF@SCSK12.ORG,Principal: Gregory McCullough,A,(901) 416-4500,(901) 416-4506,"9,10,11,12","306 S Bellevue Blvd, Memphis, TN 38104",POINT (-90.019803 35.133897),-90.019803,35.133897
NORTHWEST TENNESSEE CORE REGIONAL OFFICE,92,HOLLOW ROCK - BRUCETON,10,Public,Carroll,Central High School,norvalj@hrbk12.org,Principal: Joe Norval,A,(731) 418-4189,(731) 418-4197,"6,7,8,9,10,11,12","29590 Broad ST, Bruceton, TN 38317",POINT (-88.26225099999999 36.032525),-88.26225099999999,36.032525
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,540,MCMINN COUNTY,15,Public,McMinn,Central High School,lhutchinson@mcminnschools.com,Principal: Dr. Lori Hutchison,A,(423) 263-5541,(423) 263-0399,"9,10,11,12","145 Co Road 461, Englewood, TN 37329",POINT (-84.5030464 35.3768786),-84.5030464,35.3768786
SOUTHWEST CORE REGIONAL OFFICE,350,HARDEMAN COUNTY SCHOOLS,15,Public,Hardeman,Central High School,polkm2@hardemancountyschools.org,Principal: Mary Ann Polk,A,(731) 658-3151,,"9,10,11,12","313 Harris ST, Bolivar, TN 38008",POINT (-89.0005482 35.25891420000001),-89.0005482,35.25891420000001
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,330,HAMILTON COUNTY,40,Public,Hamilton,Central High School,Iannarone_phil@hcde.org,Principal: Phil Iannarone,A,(423) 344-1447,(423) 344-1470,"9,10,11,12","5728 Highway 58, Harrison, TN 37341",POINT (-85.13519409999999 35.1084639),-85.13519409999999,35.1084639
EAST TENNESSEE CORE REGIONAL OFFICE,650,MORGAN COUNTY,15,Public,Morgan,Central High School,jonesa2@mcsed.net,Principal: Aaron Jones,A,(423) 346-6616,(423) 346-5665,"9,10,11,12","1119 Knoxville HWY, Wartburg, TN 37887",POINT (-84.5846394 36.1061942),-84.5846394,36.1061942
EAST TENNESSEE CORE REGIONAL OFFICE,470,KNOX COUNTY,47,Public,Knox,Central High School,andrew.brown@knoxschools.org,Principal: Andrew Brown,A,(865) 689-1400,(865) 689-1403,"9,10,11,12","5321 Jacksboro PIKE, Knoxville, TN 37918",POINT (-83.92445719999999 36.0400867),-83.92445719999999,36.0400867
MID CUMBERLAND CORE REGIONAL OFFICE,750,RUTHERFORD COUNTY,15,Public,Rutherford,Central Magnet School,ashj@rcschools.net,Principal: Dr. John Ash,A,(615) 904-6789,(615) 904-6788,"6,7,8,9,10,11,12","701 East Main ST, Murfreesboro, TN 37130",POINT (-86.3779823 35.8452311),-86.3779823,35.8452311
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,580,MARION COUNTY,75,Public,Marion,Central Prep Academy,sprince@mctns.net,Principal: Sherry Prince,A,(423) 805-9861,(423) 805-9862,"10,11,12","230 Ridley DR, Jasper, TN 37347",POINT (-85.62263519999999 35.0828579),-85.62263519999999,35.0828579
UPPER CUMBERLAND CORE REGIONAL OFFICE,9710,PUTNAM COUNTY PRIVATE SCHOOLS,9005,Private,Putnam,Chance Transitional School/Chance Girls Residential Center,chanceschool@frontiernet.net,Principal: Rhonda Coleman,A,(931) 526-4565,,"7,8,9,10,11,12","1744 Deberry RD, Bloomington Springs, TN 38545",POINT (-85.6242022 36.1978639),-85.6242022,36.1978639
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,330,HAMILTON COUNTY,45,Public,Hamilton,Chatt High Center For Creative Arts,Smith_Debbie@HCDE.ORG,Principal: Debbie Smith,A,(423) 209-5929,(423) 209-5930,"6,7,8,9,10,11,12","1301 Dallas RD, Chattanooga, TN 37405",POINT (-85.30421299999999 35.079255),-85.30421299999999,35.079255
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,9330,HAMILTON COUNTY PRIVATE SCHOOLS,9045,Private,Hamilton,Chattanooga Christian School,gyoung@hvcs.org,Principal: Chad Dirkse,A,(423) 265-6411,,"K,1,2,3,4,5,6,7,8,9,10,11,12","3354 Charger DR, Chattanooga, TN 37409",POINT (-85.32199079999999 35.0135828),-85.3219908,35.0135828
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,330,HAMILTON COUNTY,8001,Public Charter,Hamilton,Chattanooga Girls Leadership Academy,kellifulton@cglaonline.com,Principal: Kelli Fulton,A,,,"6,7,8,9,10,11,12","1802 Bailey AVE, Chattanooga, TN 37404",POINT (-85.2771635 35.0336015),-85.2771635,35.0336015
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,330,HAMILTON COUNTY,8011,Public Charter,Hamilton,Chattanooga Preparatory School,dimanodkelley@chattanoogaprep.com,Principal: Diamond Kelley,A,,(423) 386-3005,"6,7,8,9,10,11,12","1815 Union AVE, Chattanooga, TN 37404",POINT (-85.2804519 35.03075949999999),-85.2804519,35.03075949999999
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,330,HAMILTON COUNTY,46,Public,Hamilton,Chattanooga School For Arts And Sciences Upper,boles_jim@hcde.org,Principal: Jim Boles,A,(423) 209-5812,(423) 209-5831,"6,7,8,9,10,11,12","865 E 3rd ST, Chattanooga, TN 37403",POINT (-85.294797 35.0504167),-85.294797,35.0504167
MID CUMBERLAND CORE REGIONAL OFFICE,110,CHEATHAM COUNTY,10,Public,Cheatham,Cheatham Co Central,stephen.wenning@ccstn.org,Principal: Mr. Stephen Wenning,A,(615) 792-5641,,"9,10,11,12","1 Cub CIR, Ashland City, TN 37015",POINT (-87.09256850000001 36.3015415),-87.09256850000001,36.3015415
FIRST TENNESSEE CORE REGIONAL OFFICE,370,HAWKINS COUNTY,17,Public,Hawkins,Cherokee High School,David.Kenner@hck12.net,Principal: David Kenner,A,(423) 272-6507,(423) 272-3556,"9,10,11,12","2927 Hwy 66 South, Rogersville, TN 37857",POINT (-83.0233293 36.3527368),-83.0233293,36.3527368
SOUTHWEST CORE REGIONAL OFFICE,120,CHESTER COUNTY,8,Public,Chester,Chester County High School,Clay.Murley@chestercountyschools.org,Principal: Mr. Clay Murley,A,(731) 989-8125,,"9,10,11,12","552 East Main ST, Henderson, TN 38340",POINT (-88.62813059999999 35.4403861),-88.62813059999999,35.4403861
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,9521,FAYETTEVILLE PRIVATE SCHOOLS,9739,Private,Lincoln,Chestnut Ridge Academy  Satellite School,chestnutridgeacademy@gmail.com,Principal: Patricia Hunt,A,,,"K,1,2,3,4,5,6,7,8,9,10,11","91 Boonshill RD, Fayetteville, TN 37334",POINT (-86.59973839999999 35.1676643),-86.59973839999999,35.1676643
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,9521,FAYETTEVILLE PRIVATE SCHOOLS,9726,Private,Lincoln,Chestnut Ridge Academy  Satellite School,ChestnutRidgeAcademy@gmail.com,Principal: Patricia Hunt,A,(931) 227-7391,,"K,1,2,3,4,5,6,7,8,9,10,11,12","106 Elk Ave North, Fayetteville, TN 37334",POINT (-86.5694505 35.1526139),-86.5694505,35.1526139
MID CUMBERLAND CORE REGIONAL OFFICE,9190,DAVIDSON COUNTY PRIVATE SCHOOLS,9025,Private,Davidson,Christ Presbyterian Academy,nate.morrow@cpalions.org,Principal: Nate Morrow,A,(615) 373-9550,,"K,1,2,3,4,5,6,7,8,9,10,11,12","2323-A Old Hickory BLVD, Nashville, TN 37215",POINT (-86.8784835 36.047496),-86.8784835,36.047496
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,9541,ATHENS PRIVATE SCHOOLS,9012,Private,McMinn,Christ's Legacy Academy,sarnold@clak12.org,Principal: Shane Arnold,A,(423) 649-0040,,"K,1,2,3,4,5,6,7,8,9,10,11,12","625 S Matlock AVE, Athens, TN 37303",POINT (-84.6110755 35.4304657),-84.6110755,35.4304657
EAST TENNESSEE CORE REGIONAL OFFICE,9470,KNOX COUNTY PRIVATE SCHOOLS,9045,Private,Knox,Christian Academy Of Knoxville,Rfulford@cakmail.org,Principal: Richard Fulford,A,(865) 690-4721,(865) 690-4752,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12","529 Academy Way, Knoxville, TN 37923",POINT (-84.10334209999999 35.9249274),-84.10334209999999,35.9249274
EAST TENNESSEE CORE REGIONAL OFFICE,9012,OAK RIDGE PRIVATE SCHOOLS,9022,Private,Anderson,Christian Academy of Oak Ridge,principal@caoakridge.com,Principal: Alan Kloefkorn,A,(865) 481-2519,(865) 483-7845,"K,1,2,3,4,5,6,7,8,9,10,11,12","535 Oak Ridge Turnpike, Oak Ridge, TN 37830",POINT (-84.22487439999999 36.0329244),-84.22487439999999,36.0329244
UPPER CUMBERLAND CORE REGIONAL OFFICE,9180,CUMBERLAND COUNTY PRIVATE SCHOOLS,9001,Private,Cumberland,Christian Academy of the Cumberlands,dbernabel@cacknights.com,Principal: Darci Bernabei,A,(931) 707-9540,(931) 707-9545,"PK,PS,K,1,2,3,4,5,6,7,8,9,10,11,12","325 Braun ST, Crossville, TN 38555",POINT (-85.0233465 35.9543451),-85.0233465,35.9543451
EAST TENNESSEE CORE REGIONAL OFFICE,9780,SEVIER COUNTY PRIVATE SCHOOLS,9011,Private,Sevier,Christian Academy of the Smokies,,Principal: ,A,(865) 774-0012,,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12","1625 Old Newport HWY, Sevierville, TN 37862",POINT (-83.5044271 35.8609581),-83.5044271,35.8609581
SOUTHWEST CORE REGIONAL OFFICE,9792,SHELBY COUNTY PRIVATE SCHOOLS,9045,Private,Shelby,Christian Brothers High School,jbrummer@cbhs.org,Principal: Dr. Jamie Brummer,A,(901) 261-4900,(901) 261-4909,"9,10,11,12","5900 Walnut Grove RD, Memphis, TN 38120",POINT (-89.86490689999999 35.132046),-89.8649069,35.132046
MID CUMBERLAND CORE REGIONAL OFFICE,9740,ROBERTSON COUNTY PRIVATE SCHOOLS,9020,Private,Robertson,Christian Community School,tpettit@iamacolt.com,Principal: Tim Pettit,A,(615) 672-6949,,"K,1,2,3,4,5,6,7,8,9,10,11,12","506 Hester DR, White House, TN 37188",POINT (-86.6833771 36.4641233),-86.6833771,36.4641233
SOUTH CENTRAL CORE REGIONAL OFFICE,9260,FRANKLIN COUNTY PRIVATE SCHOOLS,9832,Private,Franklin,Christian Heritage Academy,chawarriors@gmail.com,Principal: Sydney Williams,A,,,"K,1,2,3,4,5,6,7,8,9,10,11","504 S. Jefferson Street, Winchester, TN 37398",POINT (-86.1090318 35.1823243),-86.1090318,35.1823243
FIRST TENNESSEE CORE REGIONAL OFFICE,9822,KINGSPORT PRIVATE SCHOOLS,9026,Private,Sullivan,Christian Life Academy,office@clakingsport.com,Principal: Molly Stidham,A,(423) 288-2211 ext. 133,(423) 288-6800,"K,1,2,3,4,5,6,7,8,9,10,11,12","2401 John B. Dennis HWY, Kingsport, TN 37660",POINT (-82.5083513 36.5531469),-82.5083513,36.5531469
FIRST TENNESSEE CORE REGIONAL OFFICE,300,GREENE COUNTY,28,Public,Greene,Chuckey Doak High School,shelly.smith@gcstn.org,Principal: Shelly Smith,A,(423) 798-2636,(423) 639-5761,"9,10,11,12","365 Ripley Island RD, Afton, TN 37616",POINT (-82.7325226 36.1843215),-82.7325226,36.1843215
SOUTHWEST CORE REGIONAL OFFICE,792,SHELBY COUNTY,8265,Public Charter,Shelby,City University School of Independence,eashe@cityuniversityschool.org,Principal: Equan Ashe,A,(901) 775-2219,(901) 526-1945,"9,10,11,12","1475 East Shelby DR, Memphis, TN 38116",POINT (-90.01528589999999 35.0186691),-90.0152859,35.0186691
SOUTHWEST CORE REGIONAL OFFICE,792,SHELBY COUNTY,8204,Public Charter,Shelby,City University School Of Liberal Arts,eashe@cityuniversityschool.org,Principal: Equan Ashe,A,(901) 775-2219,(901) 368-9894,"9,10,11,12","1475 E. Shelby DR, Memphis, TN 38106",POINT (-90.01528589999999 35.0186691),-90.0152859,35.0186691
EAST TENNESSEE CORE REGIONAL OFFICE,130,CLAIBORNE COUNTY,5,Public,Claiborne,Claiborne Adult High School,early.perkins@claibornecsd.org,Principal: Early Perkins,A,(423) 626-8222,(423) 626-5945,"9,10,11,12","1403 Tazewell RD, Tazewell, TN 37879",POINT (-83.57903569999999 36.4489947),-83.57903569999999,36.4489947
EAST TENNESSEE CORE REGIONAL OFFICE,130,CLAIBORNE COUNTY,110,Public,Claiborne,Claiborne High School,Meredith.Arnold@claibornecsd.org,Principal: Meredith Arnold,A,(423) 626-3532,(423) 626-3555,"9,10,11,12","815 Davis DR, New Tazewell, TN 37825",POINT (-83.57612329999999 36.4346092),-83.57612329999999,36.4346092
EAST TENNESSEE CORE REGIONAL OFFICE,130,CLAIBORNE COUNTY,10,Public,Claiborne,Claiborne Virtual Learning Academy,CVLA@claibornecsd.org,Principal: Dr. Early Perkins,A,,(425) 626-5945,"K,1,2,3,4,5,6,7,8,9,10,11","1403 Tazewell RD, Tazewell, TN 37879",POINT (-83.57903569999999 36.4489947),-83.57903569999999,36.4489947
UPPER CUMBERLAND CORE REGIONAL OFFICE,250,FENTRESS COUNTY,25,Public,Fentress,Clarkrange High School,judy.jones@fentressboe.com,Principal: Judy Jones,A,(931) 863-3143,(931) 863-3981,"9,10,11,12","5801 S York HWY, Clarkrange, TN 38553",POINT (-85.0054782 36.2380381),-85.0054782,36.2380381
NORTHWEST TENNESSEE CORE REGIONAL OFFICE,95,SOUTH CARROLL,5,Public,Carroll,Clarksburg School,Angela.Bartholomew@clarksburgschool.net,Principal: Angela Bartholomew,A,(731) 986-3165,(731) 986-4562,"N,PK,K,1,2,3,4,5,6,7,8,9,10,11,12","145 Clarksburg RD, Clarksburg, TN 38324",POINT (-88.3898559 35.8715141),-88.3898559,35.8715141
MID CUMBERLAND CORE REGIONAL OFFICE,9630,MONTGOMERY COUNTY PRIVATE SCHOOLS,9020,Private,Montgomery,Clarksville Academy,jhinote@clarksvilleacademy.com,Principal: Jennifer Hinote,A,(931) 647-6311,(931) 906-0610,"PK,PS,K,1,2,3,4,5,6,7,8,9,10,11,12","710 North Second ST, Clarksville, TN 37040",POINT (-87.36378719999999 36.5363874),-87.36378719999999,36.5363874
MID CUMBERLAND CORE REGIONAL OFFICE,9630,MONTGOMERY COUNTY PRIVATE SCHOOLS,9022,Private,Montgomery,Clarksville Christian School,stravis@clarksvillechristianschool.org,Principal: Stephanie Travis,A,(931) 647-8180,(888) 741-0953,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12","505 Hwy. 76, Clarksville, TN 37043",POINT (-87.25942309999999 36.514485),-87.25942309999999,36.514485
MID CUMBERLAND CORE REGIONAL OFFICE,630,MONTGOMERY COUNTY,30,Public,Montgomery,Clarksville High,bryan.feldman@cmcss.net,Principal: Bryan Feldman,A,(931) 648-5690,,"9,10,11,12","151 Richview RD, Clarksville, TN 37043",POINT (-87.2758899 36.5146182),-87.2758899,36.5146182
UPPER CUMBERLAND CORE REGIONAL OFFICE,140,CLAY COUNTY,14,Public,Clay,Clay Co Adult High School,chitwoods1@k12tn.net,Principal: Stephen Chitwood,A,(931) 243-3310,(931) 243-3706,"9,10,11,12","520 Brown ST, Celina, TN 38551",POINT (-85.5050943 36.546892),-85.5050943,36.546892
UPPER CUMBERLAND CORE REGIONAL OFFICE,140,CLAY COUNTY,12,Public,Clay,Clay County High School,armst1@clayedu.com,Principal: Teia Arms,A,(931) 243-2340,(931) 243-2376,"9,10,11,12","860 Clay County HWY, Celina, TN 38551",POINT (-85.5162618 36.5614438),-85.5162618,36.5614438
EAST TENNESSEE CORE REGIONAL OFFICE,9051,ALCOA PRIVATE SCHOOLS,9115,Private,Blount,Clayton-Bradley STEM Academy,terryk@claytonbradleyacademy.org,Principal: Kendall Terry,A,(865) 494-1222,,"K,1,2,3,4,5,6,7,8,9,10,11,12","425 Alcoa TRL, Maryville, TN 37804",POINT (-83.9434349 35.8114647),-83.9434349,35.8114647
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,9061,CLEVELAND PRIVATE SCHOOLS,9725,Private,Bradley,Cleveland Academy,jquirk@omnivisions.com,Principal: Jeff Quirk,A,(423) 380-8446,,"6,7,8,9,10,11,12","175 Industrial Court SW, Cleveland, TN 37311",POINT (-84.9068913 35.133776),-84.9068913,35.133776
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,9061,CLEVELAND PRIVATE SCHOOLS,9022,Private,Bradley,Cleveland Christian School,principal@ccfschool.us,Principal: Shelia Mathis,A,(423) 476-2642,(423) 478-1526,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12","695 South Ocoee ST, Cleveland, TN 37320",POINT (-84.87909169999999 35.154687),-84.87909169999999,35.154687
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,61,CLEVELAND,20,Public,Bradley,Cleveland High,aobryan@clevelandschools.org,Principal: Autumn O'Bryan,A,(423) 478-1113,(423) 559-1560,"9,10,11,12","850 Raider DR, Cleveland, TN 37312",POINT (-84.8686828 35.1951378),-84.8686828,35.1951378
EAST TENNESSEE CORE REGIONAL OFFICE,10,ANDERSON COUNTY,105,Public,Anderson,Clinch River Community School,dleach@acs.ac,Principal: Darren Leach,A,(865) 457-7462,(865) 457-6546,"K,1,2,3,4,5,6,7,8,9,10,11,12","160 Maverick CIR, Clinton, TN 37716",POINT (-84.0962751 36.1612328),-84.0962751,36.1612328
FIRST TENNESSEE CORE REGIONAL OFFICE,370,HAWKINS COUNTY,30,Public,Hawkins,Clinch School,denise.mckee@hck12.net,Principal: Denise McKee,A,(423) 272-3202,(423) 272-3110,"K,1,2,3,4,5,6,7,8,9,10,11,12","1540 Clinch Valley RD, Sneedville, TN 37869",POINT (-83.1179459 36.4733429),-83.1179459,36.4733429
EAST TENNESSEE CORE REGIONAL OFFICE,10,ANDERSON COUNTY,25,Public,Anderson,Clinton High School,ctipton@acs.ac,Principal: Caleb Tipton,A,(865) 457-2611,(865) 457-8805,"9,10,11,12","425 Dragon DR, Clinton, TN 37716",POINT (-84.1445854 36.0944422),-84.1445854,36.0944422
FIRST TENNESSEE CORE REGIONAL OFFICE,100,CARTER COUNTY,15,Public,Carter,Cloudland High School,richardchurch@carterk12.net,Principal: Richard Church,A,(423) 772-5300,(423) 772-5309,"7,8,9,10,11,12","476 Cloudland DR, Roan Mountain, TN 37687",POINT (-82.0630584 36.1935631),-82.0630584,36.1935631
EAST TENNESSEE CORE REGIONAL OFFICE,650,MORGAN COUNTY,30,Public,Morgan,Coalfield School,murphym@mcsed.net,Principal: Matt Murphy,A,(865) 435-7332,(865) 435-2646,"PK,K,1,2,3,4,5,6,7,8,9,10,11,12","1720 Coalhill RD, Coalfield, TN 37719",POINT (-84.42087739999999 36.0274092),-84.4208774,36.0274092
FIRST TENNESSEE CORE REGIONAL OFFICE,150,COCKE COUNTY,12,Public,Cocke,Cocke Co Adult High School,douglasb@cocke.k12.tn.us,Principal: Bryan Douglas,A,(423) 613-0032,(423) 625-3421,"9,10,11,12","241 Hedrick DR, Newport, TN 37821",POINT (-83.19854769999999 35.9644254),-83.19854769999999,35.9644254
FIRST TENNESSEE CORE REGIONAL OFFICE,150,COCKE COUNTY,15,Public,Cocke,Cocke Co High School,burchetteg@cocke.k12.tn.us,Principal: Gail Burchette,A,(423) 623-8718,(423) 623-1213,"9,10,11,12","216 Hedrick DR, Newport, TN 37821",POINT (-83.19671629999999 35.963584),-83.19671629999999,35.963584
SOUTH CENTRAL CORE REGIONAL OFFICE,160,COFFEE COUNTY,5,Public,Coffee,Coffee County Central High School,vaughnj@k12coffee.net,Principal: Joey Vaughn,A,(931) 723-5159,,"10,11,12","100 Red Raider DR, Manchester, TN 37355",POINT (-86.0949103 35.4470676),-86.0949103,35.4470676
SOUTH CENTRAL CORE REGIONAL OFFICE,160,COFFEE COUNTY,45,Public,Coffee,Coffee County Koss Center,sheltonm@k12coffee.net,Principal: Major Shelton,A,(931) 723-5189,(931) 723-5172,"6,7,8,9,10,11,12","1756 McMinnville HWY, Manchester, TN 37355",POINT (-86.06510740000002 35.4970903),-86.06510740000002,35.4970903
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,9330,HAMILTON COUNTY PRIVATE SCHOOLS,9300,Private,Hamilton,Collegedale Academy,bhunt@collegedaleacademy.com,Principal: Barbara Hunt,A,,,"PK,K,1,2,3,4,5,6,7,8,9,10,11","4856 College Dr. E, Collegedale, TN 37315",POINT (-85.0468432 35.0428967),-85.0468432,35.0428967
SOUTHEAST TENNESSEE CORE REGIONAL OFFICE,9330,HAMILTON COUNTY PRIVATE SCHOOLS,9110,Private,Hamilton,Collegedale S D A Academy,,Principal: Verle Thompson,A,(423) 396-2124,,"9,10,11,12","4855 College Drive East, Collegedale, TN 37315",POINT (-85.04656559999999 35.0444193),-85.0465656,35.0444193
SOUTHWEST CORE REGIONAL OFFICE,795,COLLIERVILLE,60,Public,Shelby,Collierville High School,rjones@colliervilleschools.org,Principal: Roger Jones,A,(901) 853-3310,(901) 853-3313,"6,7,8,9,10,11,12","11605 E. Shelby DR, Collierville, TN 38017",POINT (-89.6773996 35.0196679),-89.6773996,35.0196679
SOUTH CENTRAL CORE REGIONAL OFFICE,910,WAYNE COUNTY,10,Public,Wayne,Collinwood High School,brian.crews@waynetn.net,Principal: Brian Crews,A,(931) 724-4316,,"9,10,11,12","401 North Trojan BLVD, Collinwood, TN 38450",POINT (-87.73996099999999 35.1798518),-87.739961,35.1798518
SOUTH CENTRAL CORE REGIONAL OFFICE,9600,MAURY COUNTY PRIVATE SCHOOLS,9005,Private,Maury,Columbia Academy,james.thomas@cabulldogs.org,Principal: Dr. James Thomas,A,(931) 388-5363,(931) 398-5344,"PS,K,1,2,3,4,5,6,7,8,9,10,11,12","1101 West 7th ST, Columbia, TN 38401",POINT (-87.0580547 35.6154553),-87.0580547,35.6154553
SOUTH CENTRAL CORE REGIONAL OFFICE,600,MAURY COUNTY,15,Public,Maury,Columbia Central High School,whiter3@mauryk12.org,Principal: Roger White,A,(931) 381-2222,(931) 381-6434,"9,10,11,12","921 Lion PKWY, Columbia, TN 38401",POINT (-87.0803758 35.6144597),-87.0803758,35.6144597
EAST TENNESSEE CORE REGIONAL OFFICE,9730,ROANE COUNTY PRIVATE SCHOOLS,9072,Private,Roane,Community Baptist Church,lindaslack@juno.com,Principal: Linda Slack,A,,,"K,1,2,3,4,5,6,7,8,9,10,11","707 East Tri County BLVD, Oliver Springs, TN 37840",POINT (-84.32591169999999 36.0310956),-84.32591169999999,36.0310956
SOUTH CENTRAL CORE REGIONAL OFFICE,20,BEDFORD COUNTY,35,Public,Bedford,Community High School,ralstonr@bedfordk12tn.net,Principal: Dr. Robert Ralston,A,(931) 685-1418,,"9,10,11,12","100 Community Crossing, Unionville, TN 37180",POINT (-86.5706653 35.6080293),-86.5706653,35.6080293
